trial_number,block,map,reference_node,object_reference,object_left_node,object_left,distance_left,object_right_node,object_right,distance_right,edge_difference,total_distance,minimum_distance,maximum_distance,degree_left,degree_right,correct_Ans_Dis
1,1,initial_map,node_5,stim/clarinet_a.png,node_1,stim/wallet_a.png,2,node_4,stim/hedge shears_b.png,1,1,3,1,2,2,2,right
2,1,initial_map,node_3,stim/gravy boat_a.png,node_1,stim/wallet_a.png,2,node_6,stim/leaf blower_a.png,1,1,3,1,2,2,2,right
3,1,initial_map,node_3,stim/gravy boat_a.png,node_4,stim/hedge shears_b.png,3,node_5,stim/clarinet_a.png,2,1,5,2,3,2,3,right
4,1,initial_map,node_1,stim/wallet_a.png,node_4,stim/hedge shears_b.png,1,node_5,stim/clarinet_a.png,2,1,3,1,2,2,3,left
5,1,initial_map,node_1,stim/wallet_a.png,node_2,stim/tennis ball_a.png,1,node_5,stim/clarinet_a.png,2,1,3,1,2,3,3,left
6,1,initial_map,node_2,stim/tennis ball_a.png,node_1,stim/wallet_a.png,1,node_6,stim/leaf blower_a.png,2,1,3,1,2,2,2,left
7,1,initial_map,node_2,stim/tennis ball_a.png,node_5,stim/clarinet_a.png,1,node_6,stim/leaf blower_a.png,2,1,3,1,2,3,2,left
8,1,initial_map,node_3,stim/gravy boat_a.png,node_4,stim/hedge shears_b.png,3,node_6,stim/leaf blower_a.png,1,2,4,1,3,2,2,right
9,1,initial_map,node_4,stim/hedge shears_b.png,node_3,stim/gravy boat_a.png,3,node_5,stim/clarinet_a.png,1,2,4,1,3,2,3,right
10,1,initial_map,node_6,stim/leaf blower_a.png,node_2,stim/tennis ball_a.png,2,node_5,stim/clarinet_a.png,1,1,3,1,2,3,3,right
11,1,initial_map,node_5,stim/clarinet_a.png,node_1,stim/wallet_a.png,2,node_2,stim/tennis ball_a.png,1,1,3,1,2,2,3,right
12,2,transfer_map,node_4,stim/sunflower_b.png,node_2,stim/trampoline_a.png,2,node_3,stim/television_a.png,3,1,5,2,3,3,2,left
13,2,transfer_map,node_5,stim/pretzel_a.png,node_1,stim/pool table_a.png,2,node_4,stim/sunflower_b.png,1,1,3,1,2,2,2,right
14,2,transfer_map,node_5,stim/pretzel_a.png,node_2,stim/trampoline_a.png,1,node_3,stim/television_a.png,2,1,3,1,2,3,2,left
15,2,transfer_map,node_1,stim/pool table_a.png,node_4,stim/sunflower_b.png,1,node_6,stim/guitar amplifier_b.png,3,2,4,1,3,2,2,left
16,2,transfer_map,node_5,stim/pretzel_a.png,node_3,stim/television_a.png,2,node_4,stim/sunflower_b.png,1,1,3,1,2,2,2,right
17,2,transfer_map,node_4,stim/sunflower_b.png,node_2,stim/trampoline_a.png,2,node_5,stim/pretzel_a.png,1,1,3,1,2,3,3,right
18,2,transfer_map,node_5,stim/pretzel_a.png,node_1,stim/pool table_a.png,2,node_6,stim/guitar amplifier_b.png,1,1,3,1,2,2,2,right
19,2,transfer_map,node_1,stim/pool table_a.png,node_3,stim/television_a.png,2,node_4,stim/sunflower_b.png,1,1,3,1,2,2,2,right
20,2,transfer_map,node_3,stim/television_a.png,node_1,stim/pool table_a.png,2,node_6,stim/guitar amplifier_b.png,1,1,3,1,2,2,2,right
21,2,transfer_map,node_6,stim/guitar amplifier_b.png,node_2,stim/trampoline_a.png,2,node_3,stim/television_a.png,1,1,3,1,2,3,2,right
22,2,transfer_map,node_3,stim/television_a.png,node_5,stim/pretzel_a.png,2,node_6,stim/guitar amplifier_b.png,1,1,3,1,2,3,2,right
23,3,initial_map,node_1,stim/wallet_a.png,node_4,stim/hedge shears_b.png,1,node_6,stim/leaf blower_a.png,3,2,4,1,3,2,2,left
24,3,initial_map,node_2,stim/tennis ball_a.png,node_3,stim/gravy boat_a.png,1,node_4,stim/hedge shears_b.png,2,1,3,1,2,2,2,left
25,3,initial_map,node_4,stim/hedge shears_b.png,node_1,stim/wallet_a.png,1,node_2,stim/tennis ball_a.png,2,1,3,1,2,2,3,left
26,3,initial_map,node_6,stim/leaf blower_a.png,node_1,stim/wallet_a.png,3,node_3,stim/gravy boat_a.png,1,2,4,1,3,2,2,right
27,3,initial_map,node_4,stim/hedge shears_b.png,node_2,stim/tennis ball_a.png,2,node_3,stim/gravy boat_a.png,3,1,5,2,3,3,2,left
28,3,initial_map,node_6,stim/leaf blower_a.png,node_1,stim/wallet_a.png,3,node_4,stim/hedge shears_b.png,2,1,5,2,3,2,2,right
29,3,initial_map,node_3,stim/gravy boat_a.png,node_2,stim/tennis ball_a.png,1,node_4,stim/hedge shears_b.png,3,2,4,1,3,3,2,left
30,3,initial_map,node_4,stim/hedge shears_b.png,node_1,stim/wallet_a.png,1,node_6,stim/leaf blower_a.png,2,1,3,1,2,2,2,left
31,3,initial_map,node_3,stim/gravy boat_a.png,node_5,stim/clarinet_a.png,2,node_6,stim/leaf blower_a.png,1,1,3,1,2,3,2,right
32,3,initial_map,node_4,stim/hedge shears_b.png,node_1,stim/wallet_a.png,1,node_3,stim/gravy boat_a.png,3,2,4,1,3,2,2,left
33,3,initial_map,node_1,stim/wallet_a.png,node_3,stim/gravy boat_a.png,2,node_6,stim/leaf blower_a.png,3,1,5,2,3,2,2,left
34,4,transfer_map,node_2,stim/trampoline_a.png,node_3,stim/television_a.png,1,node_6,stim/guitar amplifier_b.png,2,1,3,1,2,2,2,left
35,4,transfer_map,node_4,stim/sunflower_b.png,node_1,stim/pool table_a.png,1,node_3,stim/television_a.png,3,2,4,1,3,2,2,left
36,4,transfer_map,node_2,stim/trampoline_a.png,node_4,stim/sunflower_b.png,2,node_5,stim/pretzel_a.png,1,1,3,1,2,2,3,right
37,4,transfer_map,node_4,stim/sunflower_b.png,node_3,stim/television_a.png,3,node_6,stim/guitar amplifier_b.png,2,1,5,2,3,2,2,right
38,4,transfer_map,node_1,stim/pool table_a.png,node_4,stim/sunflower_b.png,1,node_5,stim/pretzel_a.png,2,1,3,1,2,2,3,left
