graph,trial_number,cue_MST,label,correct_Ans_MST
graph_1,1,stim/binder_b.jpg,similar,down
graph_2,2,stim/baseball_a.png,new,right
graph_1,3,stim/disco ball_a.png,new,right
graph_2,4,stim/trampoline_a.png,old,left
graph_2,5,stim/sunflower_a.png,old,left
graph_2,6,stim/flashlight_a.png,new,right
graph_1,7,stim/rake_b.png,new,right
graph_2,8,stim/circular saw blade_a.jpg,similar,down
graph_2,9,stim/broom_a.png,old,left
graph_2,10,stim/gravy boat_a.png,old,left
graph_2,11,stim/pretzel_b.png,new,right
graph_2,12,stim/broom_b.jpg,similar,down
graph_1,13,stim/cinnamon roll_a.png,new,right
graph_1,14,stim/paper lantern_b.png,new,right
graph_1,15,stim/clarinet_a.png,new,right
graph_2,16,stim/circular saw blade_b.png,old,left
graph_1,17,stim/hedge shears_a.jpg,similar,down
graph_2,18,stim/leaf blower_a.png,new,right
graph_1,19,stim/treadmill_a.png,new,right
graph_2,20,stim/beanie_b.png,new,right
graph_2,21,stim/wallet_b.png,old,left
graph_1,22,stim/pool table_b.png,old,left
graph_1,23,stim/pool table_a.jpg,similar,down
graph_1,24,stim/television_b.png,old,left
graph_1,25,stim/binder_a.png,old,left
graph_2,26,stim/tennis ball_a.png,new,right
graph_1,27,stim/guitar amplifier_a.png,old,left
graph_2,28,stim/sunflower_b.jpg,similar,down
graph_1,29,stim/allen wrench_b.png,old,left
graph_1,30,stim/guitar amplifier_b.jpg,similar,down
graph_1,31,stim/television_a.jpg,similar,down
graph_2,32,stim/wallet_a.jpg,similar,down
graph_1,33,stim/hedge shears_b.png,old,left
graph_1,34,stim/allen wrench_a.jpg,similar,down
graph_2,35,stim/trampoline_b.jpg,similar,down
graph_2,36,stim/gravy boat_b.jpg,similar,down
