graph,trial_number,cue_MST,label,correct_Ans_MST
graph_2,1,stim/leaf blower_a.jpg,similar,down
graph_2,2,stim/binder_b.png,old,left
graph_2,3,stim/binder_a.jpg,similar,down
graph_2,4,stim/trampoline_a.png,old,left
graph_1,5,stim/rake_a.jpg,similar,down
graph_2,6,stim/circular saw blade_a.png,new,right
graph_2,7,stim/disco ball_b.png,new,right
graph_2,8,stim/beanie_a.png,new,right
graph_2,9,stim/treadmill_b.png,new,right
graph_2,10,stim/baseball_b.png,old,left
graph_1,11,stim/pretzel_b.jpg,similar,down
graph_1,12,stim/flashlight_a.png,new,right
graph_1,13,stim/sunflower_a.png,old,left
graph_1,14,stim/pretzel_a.png,old,left
graph_2,15,stim/hedge shears_b.jpg,similar,down
graph_1,16,stim/rake_b.png,old,left
graph_1,17,stim/cinnamon roll_b.png,new,right
graph_1,18,stim/pool table_a.jpg,similar,down
graph_2,19,stim/gravy boat_a.jpg,similar,down
graph_2,20,stim/paper lantern_a.png,new,right
graph_2,21,stim/hedge shears_a.png,old,left
graph_1,22,stim/television_a.jpg,similar,down
graph_2,23,stim/gravy boat_b.png,old,left
graph_2,24,stim/tennis ball_a.png,new,right
graph_1,25,stim/pool table_b.png,old,left
graph_1,26,stim/sunflower_b.jpg,similar,down
graph_1,27,stim/broom_a.png,new,right
graph_1,28,stim/allen wrench_b.png,new,right
graph_2,29,stim/baseball_a.jpg,similar,down
graph_1,30,stim/clarinet_a.png,new,right
graph_2,31,stim/trampoline_b.jpg,similar,down
graph_1,32,stim/wallet_b.png,new,right
graph_1,33,stim/guitar amplifier_b.png,old,left
graph_1,34,stim/television_b.png,old,left
graph_1,35,stim/guitar amplifier_a.jpg,similar,down
graph_2,36,stim/leaf blower_b.png,old,left
