graph,trial_number,cue_MST,label,correct_Ans_MST
graph_2,1,stim/pretzel_b.jpg,similar,down
graph_1,2,stim/wallet_a.png,new,right
graph_1,3,stim/allen wrench_a.jpg,similar,down
graph_2,4,stim/circular saw blade_a.jpg,similar,down
graph_1,5,stim/leaf blower_b.jpg,similar,down
graph_2,6,stim/cinnamon roll_a.png,new,right
graph_1,7,stim/disco ball_a.png,new,right
graph_2,8,stim/gravy boat_a.png,old,left
graph_2,9,stim/rake_a.png,new,right
graph_2,10,stim/beanie_a.png,new,right
graph_2,11,stim/clarinet_b.png,new,right
graph_2,12,stim/circular saw blade_b.png,old,left
graph_1,13,stim/baseball_a.png,new,right
graph_1,14,stim/sunflower_b.png,new,right
graph_2,15,stim/broom_a.jpg,similar,down
graph_1,16,stim/television_a.jpg,similar,down
graph_1,17,stim/guitar amplifier_a.jpg,similar,down
graph_2,18,stim/paper lantern_a.png,new,right
graph_2,19,stim/broom_b.png,old,left
graph_2,20,stim/treadmill_b.png,new,right
graph_1,21,stim/trampoline_a.png,new,right
graph_1,22,stim/allen wrench_b.png,old,left
graph_2,23,stim/flashlight_a.jpg,similar,down
graph_2,24,stim/flashlight_b.png,old,left
graph_1,25,stim/binder_b.png,old,left
graph_1,26,stim/hedge shears_a.jpg,similar,down
graph_1,27,stim/leaf blower_a.png,old,left
graph_1,28,stim/binder_a.jpg,similar,down
graph_2,29,stim/tennis ball_a.png,old,left
graph_1,30,stim/guitar amplifier_b.png,old,left
graph_1,31,stim/television_b.png,old,left
graph_1,32,stim/hedge shears_b.png,old,left
graph_2,33,stim/gravy boat_b.jpg,similar,down
graph_2,34,stim/pretzel_a.png,old,left
graph_2,35,stim/tennis ball_b.jpg,similar,down
graph_1,36,stim/pool table_b.png,new,right
