graph,trial_number,cue_MST,label,correct_Ans_MST
graph_2,1,stim/treadmill_a.png,old,left
graph_1,2,stim/baseball_a.png,new,right
graph_1,3,stim/trampoline_a.png,old,left
graph_1,4,stim/pool table_a.png,old,left
graph_1,5,stim/rake_a.png,new,right
graph_1,6,stim/guitar amplifier_b.jpg,similar,down
graph_2,7,stim/paper lantern_b.png,new,right
graph_1,8,stim/television_b.png,new,right
graph_2,9,stim/cinnamon roll_a.png,new,right
graph_1,10,stim/beanie_a.png,old,left
graph_2,11,stim/hedge shears_b.jpg,similar,down
graph_1,12,stim/circular saw blade_a.jpg,similar,down
graph_2,13,stim/treadmill_b.jpg,similar,down
graph_2,14,stim/flashlight_b.jpg,similar,down
graph_2,15,stim/hedge shears_a.png,old,left
graph_2,16,stim/gravy boat_b.jpg,similar,down
graph_1,17,stim/pool table_b.jpg,similar,down
graph_1,18,stim/allen wrench_b.png,new,right
graph_2,19,stim/pretzel_a.png,old,left
graph_2,20,stim/flashlight_a.png,old,left
graph_1,21,stim/circular saw blade_b.png,old,left
graph_2,22,stim/pretzel_b.jpg,similar,down
graph_2,23,stim/sunflower_b.png,old,left
graph_1,24,stim/binder_a.jpg,similar,down
graph_2,25,stim/disco ball_b.png,new,right
graph_1,26,stim/beanie_b.jpg,similar,down
graph_1,27,stim/trampoline_b.jpg,similar,down
graph_2,28,stim/tennis ball_b.png,new,right
graph_1,29,stim/binder_b.png,old,left
graph_1,30,stim/guitar amplifier_a.png,old,left
graph_2,31,stim/wallet_b.png,new,right
graph_1,32,stim/clarinet_a.png,new,right
graph_2,33,stim/sunflower_a.jpg,similar,down
graph_2,34,stim/leaf blower_a.png,new,right
graph_1,35,stim/broom_a.png,new,right
graph_2,36,stim/gravy boat_a.png,old,left
