graph,trial_number,cue_MST,label,correct_Ans_MST
graph_2,1,stim/pool table_a.png,new,right
graph_2,2,stim/paper lantern_a.jpg,similar,down
graph_1,3,stim/pretzel_b.png,old,left
graph_2,4,stim/tennis ball_b.png,old,left
graph_2,5,stim/clarinet_b.png,old,left
graph_2,6,stim/treadmill_a.png,old,left
graph_2,7,stim/binder_b.jpg,similar,down
graph_1,8,stim/leaf blower_b.png,new,right
graph_1,9,stim/broom_b.png,old,left
graph_2,10,stim/beanie_b.png,new,right
graph_1,11,stim/pretzel_a.jpg,similar,down
graph_2,12,stim/wallet_b.png,new,right
graph_1,13,stim/trampoline_a.jpg,similar,down
graph_1,14,stim/gravy boat_a.jpg,similar,down
graph_2,15,stim/binder_a.png,old,left
graph_2,16,stim/paper lantern_b.png,old,left
graph_2,17,stim/disco ball_b.png,new,right
graph_1,18,stim/television_b.png,old,left
graph_2,19,stim/tennis ball_a.jpg,similar,down
graph_2,20,stim/clarinet_a.jpg,similar,down
graph_2,21,stim/hedge shears_a.jpg,similar,down
graph_1,22,stim/television_a.jpg,similar,down
graph_1,23,stim/broom_a.jpg,similar,down
graph_2,24,stim/hedge shears_b.png,old,left
graph_2,25,stim/treadmill_b.jpg,similar,down
graph_1,26,stim/flashlight_a.png,new,right
graph_1,27,stim/gravy boat_b.png,old,left
graph_1,28,stim/trampoline_b.png,old,left
graph_1,29,stim/baseball_b.png,new,right
graph_1,30,stim/guitar amplifier_b.jpg,similar,down
graph_1,31,stim/allen wrench_b.png,new,right
graph_1,32,stim/circular saw blade_a.png,new,right
graph_2,33,stim/cinnamon roll_b.png,new,right
graph_1,34,stim/rake_a.png,new,right
graph_2,35,stim/sunflower_a.png,new,right
graph_1,36,stim/guitar amplifier_a.png,old,left
