graph,trial_number,cue_MST,label,correct_Ans_MST
graph_1,1,stim/television_b.png,old,left
graph_1,2,stim/baseball_b.png,new,right
graph_1,3,stim/broom_a.jpg,similar,down
graph_2,4,stim/gravy boat_b.jpg,similar,down
graph_1,5,stim/guitar amplifier_b.png,old,left
graph_2,6,stim/hedge shears_a.png,new,right
graph_1,7,stim/pretzel_a.jpg,similar,down
graph_1,8,stim/treadmill_a.jpg,similar,down
graph_1,9,stim/guitar amplifier_a.jpg,similar,down
graph_1,10,stim/rake_b.png,new,right
graph_1,11,stim/trampoline_a.png,new,right
graph_1,12,stim/leaf blower_b.png,new,right
graph_1,13,stim/television_a.jpg,similar,down
graph_1,14,stim/wallet_b.png,new,right
graph_2,15,stim/sunflower_a.png,new,right
graph_2,16,stim/allen wrench_a.png,old,left
graph_2,17,stim/allen wrench_b.jpg,similar,down
graph_1,18,stim/flashlight_b.png,new,right
graph_1,19,stim/tennis ball_b.png,old,left
graph_1,20,stim/pretzel_b.png,old,left
graph_1,21,stim/treadmill_b.png,old,left
graph_2,22,stim/gravy boat_a.png,old,left
graph_2,23,stim/paper lantern_a.jpg,similar,down
graph_2,24,stim/circular saw blade_b.png,new,right
graph_2,25,stim/clarinet_a.png,new,right
graph_2,26,stim/pool table_a.png,old,left
graph_1,27,stim/broom_b.png,old,left
graph_1,28,stim/tennis ball_a.jpg,similar,down
graph_2,29,stim/cinnamon roll_b.png,new,right
graph_2,30,stim/beanie_b.png,new,right
graph_2,31,stim/disco ball_b.jpg,similar,down
graph_2,32,stim/binder_b.png,old,left
graph_2,33,stim/paper lantern_b.png,old,left
graph_2,34,stim/disco ball_a.png,old,left
graph_2,35,stim/binder_a.jpg,similar,down
graph_2,36,stim/pool table_b.jpg,similar,down
