trial_number,block,map,reference_node,object_reference,object_left_node,object_left,distance_left,object_right_node,object_right,distance_right,edge_difference,total_distance,minimum_distance,maximum_distance,degree_left,degree_right,correct_Ans_Dis
1,1,transfer_map,node_6,stim/hedge shears_a.png,node_2,stim/paper lantern_b.png,2,node_3,stim/tennis ball_a.png,1,1,3,1,2,3,2,right
2,1,transfer_map,node_1,stim/treadmill_b.png,node_5,stim/binder_a.png,2,node_6,stim/hedge shears_a.png,3,1,5,2,3,3,2,left
3,1,transfer_map,node_1,stim/treadmill_b.png,node_4,stim/television_b.png,1,node_5,stim/binder_a.png,2,1,3,1,2,2,3,left
4,1,transfer_map,node_4,stim/television_b.png,node_5,stim/binder_a.png,1,node_6,stim/hedge shears_a.png,2,1,3,1,2,3,2,left
5,1,transfer_map,node_5,stim/binder_a.png,node_1,stim/treadmill_b.png,2,node_6,stim/hedge shears_a.png,1,1,3,1,2,2,2,right
6,1,transfer_map,node_3,stim/tennis ball_a.png,node_1,stim/treadmill_b.png,2,node_2,stim/paper lantern_b.png,1,1,3,1,2,2,3,right
7,1,transfer_map,node_6,stim/hedge shears_a.png,node_4,stim/television_b.png,2,node_5,stim/binder_a.png,1,1,3,1,2,2,3,right
8,1,transfer_map,node_3,stim/tennis ball_a.png,node_1,stim/treadmill_b.png,2,node_4,stim/television_b.png,3,1,5,2,3,2,2,left
9,1,transfer_map,node_3,stim/tennis ball_a.png,node_1,stim/treadmill_b.png,2,node_6,stim/hedge shears_a.png,1,1,3,1,2,2,2,right
10,1,transfer_map,node_1,stim/treadmill_b.png,node_2,stim/paper lantern_b.png,1,node_6,stim/hedge shears_a.png,3,2,4,1,3,3,2,left
11,1,transfer_map,node_6,stim/hedge shears_a.png,node_1,stim/treadmill_b.png,3,node_3,stim/tennis ball_a.png,1,2,4,1,3,2,2,right
12,2,initial_map,node_3,stim/circular saw blade_a.png,node_1,stim/gravy boat_a.png,2,node_2,stim/flashlight_a.png,1,1,3,1,2,2,3,right
13,2,initial_map,node_6,stim/trampoline_a.png,node_1,stim/gravy boat_a.png,3,node_2,stim/flashlight_a.png,2,1,5,2,3,2,3,right
14,2,initial_map,node_2,stim/flashlight_a.png,node_3,stim/circular saw blade_a.png,1,node_4,stim/pretzel_b.png,2,1,3,1,2,2,2,left
15,2,initial_map,node_6,stim/trampoline_a.png,node_2,stim/flashlight_a.png,2,node_5,stim/pool table_a.png,1,1,3,1,2,3,3,right
16,2,initial_map,node_2,stim/flashlight_a.png,node_4,stim/pretzel_b.png,2,node_5,stim/pool table_a.png,1,1,3,1,2,2,3,right
17,2,initial_map,node_4,stim/pretzel_b.png,node_5,stim/pool table_a.png,1,node_6,stim/trampoline_a.png,2,1,3,1,2,3,2,left
18,2,initial_map,node_3,stim/circular saw blade_a.png,node_4,stim/pretzel_b.png,3,node_5,stim/pool table_a.png,2,1,5,2,3,2,3,right
19,2,initial_map,node_6,stim/trampoline_a.png,node_2,stim/flashlight_a.png,2,node_3,stim/circular saw blade_a.png,1,1,3,1,2,3,2,right
20,2,initial_map,node_1,stim/gravy boat_a.png,node_2,stim/flashlight_a.png,1,node_5,stim/pool table_a.png,2,1,3,1,2,3,3,left
21,2,initial_map,node_3,stim/circular saw blade_a.png,node_4,stim/pretzel_b.png,3,node_6,stim/trampoline_a.png,1,2,4,1,3,2,2,right
22,2,initial_map,node_6,stim/trampoline_a.png,node_4,stim/pretzel_b.png,2,node_5,stim/pool table_a.png,1,1,3,1,2,2,3,right
23,3,transfer_map,node_3,stim/tennis ball_a.png,node_4,stim/television_b.png,3,node_6,stim/hedge shears_a.png,1,2,4,1,3,2,2,right
24,3,transfer_map,node_4,stim/television_b.png,node_1,stim/treadmill_b.png,1,node_6,stim/hedge shears_a.png,2,1,3,1,2,2,2,left
25,3,transfer_map,node_4,stim/television_b.png,node_2,stim/paper lantern_b.png,2,node_5,stim/binder_a.png,1,1,3,1,2,3,3,right
26,3,transfer_map,node_3,stim/tennis ball_a.png,node_4,stim/television_b.png,3,node_5,stim/binder_a.png,2,1,5,2,3,2,3,right
27,3,transfer_map,node_1,stim/treadmill_b.png,node_2,stim/paper lantern_b.png,1,node_3,stim/tennis ball_a.png,2,1,3,1,2,3,2,left
28,3,transfer_map,node_1,stim/treadmill_b.png,node_4,stim/television_b.png,1,node_6,stim/hedge shears_a.png,3,2,4,1,3,2,2,left
29,3,transfer_map,node_6,stim/hedge shears_a.png,node_3,stim/tennis ball_a.png,1,node_4,stim/television_b.png,2,1,3,1,2,2,2,left
30,3,transfer_map,node_3,stim/tennis ball_a.png,node_2,stim/paper lantern_b.png,1,node_4,stim/television_b.png,3,2,4,1,3,3,2,left
31,3,transfer_map,node_5,stim/binder_a.png,node_1,stim/treadmill_b.png,2,node_4,stim/television_b.png,1,1,3,1,2,2,2,right
32,3,transfer_map,node_6,stim/hedge shears_a.png,node_1,stim/treadmill_b.png,3,node_4,stim/television_b.png,2,1,5,2,3,2,2,right
33,3,transfer_map,node_1,stim/treadmill_b.png,node_2,stim/paper lantern_b.png,1,node_5,stim/binder_a.png,2,1,3,1,2,3,3,left
34,4,initial_map,node_5,stim/pool table_a.png,node_1,stim/gravy boat_a.png,2,node_6,stim/trampoline_a.png,1,1,3,1,2,2,2,right
35,4,initial_map,node_5,stim/pool table_a.png,node_1,stim/gravy boat_a.png,2,node_4,stim/pretzel_b.png,1,1,3,1,2,2,2,right
36,4,initial_map,node_4,stim/pretzel_b.png,node_1,stim/gravy boat_a.png,1,node_2,stim/flashlight_a.png,2,1,3,1,2,2,3,left
37,4,initial_map,node_4,stim/pretzel_b.png,node_3,stim/circular saw blade_a.png,3,node_5,stim/pool table_a.png,1,2,4,1,3,2,3,right
38,4,initial_map,node_6,stim/trampoline_a.png,node_1,stim/gravy boat_a.png,3,node_5,stim/pool table_a.png,1,2,4,1,3,2,3,right
39,4,initial_map,node_4,stim/pretzel_b.png,node_2,stim/flashlight_a.png,2,node_3,stim/circular saw blade_a.png,3,1,5,2,3,3,2,left
40,4,initial_map,node_2,stim/flashlight_a.png,node_5,stim/pool table_a.png,1,node_6,stim/trampoline_a.png,2,1,3,1,2,3,2,left
41,4,initial_map,node_3,stim/circular saw blade_a.png,node_1,stim/gravy boat_a.png,2,node_6,stim/trampoline_a.png,1,1,3,1,2,2,2,right
42,4,initial_map,node_5,stim/pool table_a.png,node_1,stim/gravy boat_a.png,2,node_2,stim/flashlight_a.png,1,1,3,1,2,2,3,right
43,4,initial_map,node_2,stim/flashlight_a.png,node_1,stim/gravy boat_a.png,1,node_6,stim/trampoline_a.png,2,1,3,1,2,2,2,left
44,4,initial_map,node_1,stim/gravy boat_a.png,node_4,stim/pretzel_b.png,1,node_6,stim/trampoline_a.png,3,2,4,1,3,2,2,left
45,5,transfer_map,node_6,stim/hedge shears_a.png,node_1,stim/treadmill_b.png,3,node_2,stim/paper lantern_b.png,2,1,5,2,3,2,3,right
46,5,transfer_map,node_5,stim/binder_a.png,node_1,stim/treadmill_b.png,2,node_2,stim/paper lantern_b.png,1,1,3,1,2,2,3,right
47,5,transfer_map,node_3,stim/tennis ball_a.png,node_2,stim/paper lantern_b.png,1,node_5,stim/binder_a.png,2,1,3,1,2,3,3,left
48,5,transfer_map,node_5,stim/binder_a.png,node_3,stim/tennis ball_a.png,2,node_6,stim/hedge shears_a.png,1,1,3,1,2,2,2,right
49,5,transfer_map,node_2,stim/paper lantern_b.png,node_3,stim/tennis ball_a.png,1,node_6,stim/hedge shears_a.png,2,1,3,1,2,2,2,left
50,5,transfer_map,node_6,stim/hedge shears_a.png,node_2,stim/paper lantern_b.png,2,node_5,stim/binder_a.png,1,1,3,1,2,3,3,right
51,5,transfer_map,node_4,stim/television_b.png,node_3,stim/tennis ball_a.png,3,node_5,stim/binder_a.png,1,2,4,1,3,2,3,right
52,5,transfer_map,node_2,stim/paper lantern_b.png,node_1,stim/treadmill_b.png,1,node_4,stim/television_b.png,2,1,3,1,2,2,2,left
53,5,transfer_map,node_2,stim/paper lantern_b.png,node_3,stim/tennis ball_a.png,1,node_4,stim/television_b.png,2,1,3,1,2,2,2,left
