graph,trial_number,cue_MST,label,correct_Ans_MST
graph_1,1,stim/circular saw blade_a.png,new,right
graph_1,2,stim/television_b.jpg,similar,down
graph_2,3,stim/pool table_b.png,old,left
graph_2,4,stim/rake_b.png,new,right
graph_2,5,stim/flashlight_b.png,old,left
graph_1,6,stim/gravy boat_a.jpg,similar,down
graph_1,7,stim/paper lantern_b.png,new,right
graph_1,8,stim/beanie_b.png,new,right
graph_1,9,stim/disco ball_b.png,new,right
graph_2,10,stim/hedge shears_a.jpg,similar,down
graph_2,11,stim/flashlight_a.jpg,similar,down
graph_2,12,stim/wallet_b.png,new,right
graph_1,13,stim/television_a.png,old,left
graph_2,14,stim/baseball_b.png,new,right
graph_1,15,stim/leaf blower_a.png,old,left
graph_2,16,stim/pool table_a.jpg,similar,down
graph_1,17,stim/gravy boat_b.png,old,left
graph_2,18,stim/pretzel_b.png,old,left
graph_2,19,stim/broom_a.png,new,right
graph_2,20,stim/sunflower_b.jpg,similar,down
graph_1,21,stim/tennis ball_b.jpg,similar,down
graph_2,22,stim/binder_a.png,new,right
graph_1,23,stim/allen wrench_a.png,old,left
graph_2,24,stim/pretzel_a.jpg,similar,down
graph_1,25,stim/allen wrench_b.jpg,similar,down
graph_2,26,stim/treadmill_b.png,new,right
graph_2,27,stim/clarinet_a.png,old,left
graph_1,28,stim/guitar amplifier_b.jpg,similar,down
graph_1,29,stim/guitar amplifier_a.png,old,left
graph_1,30,stim/tennis ball_a.png,old,left
graph_2,31,stim/sunflower_a.png,old,left
graph_2,32,stim/hedge shears_b.png,old,left
graph_2,33,stim/clarinet_b.jpg,similar,down
graph_1,34,stim/cinnamon roll_a.png,new,right
graph_1,35,stim/leaf blower_b.jpg,similar,down
graph_1,36,stim/trampoline_b.png,new,right
