graph,trial_number,cue_MST,label,correct_Ans_MST
graph_1,1,stim/trampoline_b.jpg,similar,down
graph_1,2,stim/trampoline_a.png,old,left
graph_1,3,stim/baseball_a.png,new,right
graph_2,4,stim/leaf blower_a.png,old,left
graph_2,5,stim/paper lantern_a.png,new,right
graph_2,6,stim/allen wrench_b.png,old,left
graph_1,7,stim/sunflower_a.png,old,left
graph_1,8,stim/flashlight_b.jpg,similar,down
graph_1,9,stim/circular saw blade_b.jpg,similar,down
graph_2,10,stim/pool table_b.png,old,left
graph_1,11,stim/sunflower_b.jpg,similar,down
graph_2,12,stim/treadmill_b.jpg,similar,down
graph_2,13,stim/pool table_a.jpg,similar,down
graph_1,14,stim/tennis ball_b.png,new,right
graph_1,15,stim/rake_a.png,new,right
graph_2,16,stim/cinnamon roll_a.png,new,right
graph_1,17,stim/gravy boat_a.png,old,left
graph_2,18,stim/disco ball_a.png,old,left
graph_2,19,stim/guitar amplifier_b.png,old,left
graph_2,20,stim/treadmill_a.png,old,left
graph_1,21,stim/circular saw blade_a.png,old,left
graph_2,22,stim/wallet_a.png,new,right
graph_2,23,stim/guitar amplifier_a.jpg,similar,down
graph_2,24,stim/disco ball_b.jpg,similar,down
graph_1,25,stim/gravy boat_b.jpg,similar,down
graph_1,26,stim/pretzel_b.jpg,similar,down
graph_2,27,stim/hedge shears_b.png,new,right
graph_1,28,stim/pretzel_a.png,old,left
graph_1,29,stim/flashlight_a.png,old,left
graph_1,30,stim/clarinet_b.png,new,right
graph_2,31,stim/allen wrench_a.jpg,similar,down
graph_2,32,stim/leaf blower_b.jpg,similar,down
graph_2,33,stim/binder_b.png,new,right
graph_1,34,stim/television_a.png,new,right
graph_1,35,stim/beanie_b.png,new,right
graph_2,36,stim/broom_b.png,new,right
