graph,trial_number,cue_MST,label,correct_Ans_MST
graph_1,1,stim/wallet_a.png,new,right
graph_1,2,stim/rake_b.png,new,right
graph_2,3,stim/allen wrench_b.jpg,similar,down
graph_2,4,stim/paper lantern_b.png,old,left
graph_2,5,stim/pretzel_a.png,new,right
graph_1,6,stim/treadmill_b.png,old,left
graph_1,7,stim/gravy boat_a.png,old,left
graph_1,8,stim/leaf blower_b.jpg,similar,down
graph_2,9,stim/sunflower_a.png,new,right
graph_2,10,stim/binder_a.png,old,left
graph_1,11,stim/flashlight_a.png,old,left
graph_2,12,stim/allen wrench_a.png,old,left
graph_1,13,stim/pool table_b.png,old,left
graph_1,14,stim/clarinet_a.jpg,similar,down
graph_1,15,stim/leaf blower_a.png,old,left
graph_1,16,stim/beanie_a.png,new,right
graph_2,17,stim/guitar amplifier_b.jpg,similar,down
graph_2,18,stim/hedge shears_a.png,old,left
graph_1,19,stim/clarinet_b.png,old,left
graph_1,20,stim/cinnamon roll_a.png,new,right
graph_2,21,stim/circular saw blade_a.png,new,right
graph_2,22,stim/baseball_b.png,new,right
graph_2,23,stim/broom_a.png,new,right
graph_1,24,stim/pool table_a.jpg,similar,down
graph_1,25,stim/flashlight_b.jpg,similar,down
graph_2,26,stim/tennis ball_a.png,old,left
graph_2,27,stim/tennis ball_b.jpg,similar,down
graph_2,28,stim/hedge shears_b.jpg,similar,down
graph_2,29,stim/trampoline_a.png,new,right
graph_2,30,stim/binder_b.jpg,similar,down
graph_2,31,stim/paper lantern_a.jpg,similar,down
graph_1,32,stim/gravy boat_b.jpg,similar,down
graph_1,33,stim/television_a.png,new,right
graph_1,34,stim/disco ball_a.png,new,right
graph_1,35,stim/treadmill_a.jpg,similar,down
graph_2,36,stim/guitar amplifier_a.png,old,left
