graph,trial_number,cue_MST,label,correct_Ans_MST
graph_2,1,stim/treadmill_a.jpg,similar,down
graph_2,2,stim/treadmill_b.png,old,left
graph_2,3,stim/baseball_b.png,new,right
graph_2,4,stim/leaf blower_a.png,old,left
graph_1,5,stim/gravy boat_b.jpg,similar,down
graph_2,6,stim/broom_b.png,new,right
graph_2,7,stim/television_a.jpg,similar,down
graph_2,8,stim/circular saw blade_b.png,new,right
graph_1,9,stim/pool table_a.jpg,similar,down
graph_1,10,stim/gravy boat_a.png,old,left
graph_1,11,stim/trampoline_b.png,old,left
graph_2,12,stim/television_b.png,old,left
graph_2,13,stim/hedge shears_b.jpg,similar,down
graph_2,14,stim/pretzel_a.png,old,left
graph_1,15,stim/sunflower_a.png,new,right
graph_2,16,stim/leaf blower_b.jpg,similar,down
graph_1,17,stim/paper lantern_b.jpg,similar,down
graph_1,18,stim/wallet_b.png,new,right
graph_1,19,stim/pool table_b.png,old,left
graph_1,20,stim/flashlight_a.png,new,right
graph_1,21,stim/guitar amplifier_a.jpg,similar,down
graph_2,22,stim/pretzel_b.jpg,similar,down
graph_1,23,stim/beanie_a.png,new,right
graph_2,24,stim/rake_b.png,new,right
graph_1,25,stim/cinnamon roll_b.png,new,right
graph_2,26,stim/allen wrench_a.png,old,left
graph_1,27,stim/tennis ball_b.png,new,right
graph_1,28,stim/binder_a.jpg,similar,down
graph_2,29,stim/allen wrench_b.jpg,similar,down
graph_2,30,stim/clarinet_a.png,new,right
graph_1,31,stim/trampoline_a.jpg,similar,down
graph_2,32,stim/hedge shears_a.png,old,left
graph_1,33,stim/binder_b.png,old,left
graph_2,34,stim/disco ball_b.png,new,right
graph_1,35,stim/guitar amplifier_b.png,old,left
graph_1,36,stim/paper lantern_a.png,old,left
