graph,trial_number,cue_MST,label,correct_Ans_MST
graph_1,1,stim/circular saw blade_a.png,old,left
graph_1,2,stim/pretzel_b.png,new,right
graph_2,3,stim/cinnamon roll_b.png,new,right
graph_2,4,stim/baseball_b.png,new,right
graph_2,5,stim/hedge shears_b.jpg,similar,down
graph_1,6,stim/gravy boat_b.png,old,left
graph_1,7,stim/television_b.jpg,similar,down
graph_2,8,stim/leaf blower_b.jpg,similar,down
graph_2,9,stim/trampoline_a.png,old,left
graph_2,10,stim/tennis ball_a.png,new,right
graph_2,11,stim/clarinet_a.jpg,similar,down
graph_1,12,stim/guitar amplifier_b.png,old,left
graph_2,13,stim/clarinet_b.png,old,left
graph_1,14,stim/paper lantern_b.png,old,left
graph_1,15,stim/guitar amplifier_a.jpg,similar,down
graph_1,16,stim/flashlight_a.png,new,right
graph_2,17,stim/allen wrench_b.png,old,left
graph_2,18,stim/hedge shears_a.png,old,left
graph_2,19,stim/leaf blower_a.png,old,left
graph_1,20,stim/television_a.png,old,left
graph_1,21,stim/gravy boat_a.jpg,similar,down
graph_1,22,stim/binder_b.png,new,right
graph_1,23,stim/paper lantern_a.jpg,similar,down
graph_2,24,stim/beanie_b.jpg,similar,down
graph_2,25,stim/trampoline_b.jpg,similar,down
graph_2,26,stim/rake_b.png,new,right
graph_2,27,stim/allen wrench_a.jpg,similar,down
graph_1,28,stim/broom_b.png,new,right
graph_2,29,stim/pool table_b.png,new,right
graph_1,30,stim/circular saw blade_b.jpg,similar,down
graph_1,31,stim/treadmill_a.png,old,left
graph_1,32,stim/disco ball_a.png,new,right
graph_1,33,stim/wallet_a.png,new,right
graph_2,34,stim/sunflower_a.png,new,right
graph_2,35,stim/beanie_a.png,old,left
graph_1,36,stim/treadmill_b.jpg,similar,down
