graph,trial_number,cue_MST,label,correct_Ans_MST
graph_1,1,stim/pool table_b.jpg,similar,down
graph_1,2,stim/gravy boat_a.png,old,left
graph_2,3,stim/tennis ball_b.jpg,similar,down
graph_1,4,stim/trampoline_b.jpg,similar,down
graph_2,5,stim/tennis ball_a.png,old,left
graph_2,6,stim/allen wrench_a.png,new,right
graph_2,7,stim/binder_a.png,old,left
graph_2,8,stim/hedge shears_a.png,old,left
graph_2,9,stim/hedge shears_b.jpg,similar,down
graph_1,10,stim/rake_a.png,new,right
graph_1,11,stim/cinnamon roll_a.png,new,right
graph_1,12,stim/gravy boat_b.jpg,similar,down
graph_2,13,stim/disco ball_b.png,new,right
graph_1,14,stim/beanie_a.png,new,right
graph_1,15,stim/circular saw blade_a.png,old,left
graph_1,16,stim/trampoline_a.png,old,left
graph_2,17,stim/treadmill_a.jpg,similar,down
graph_2,18,stim/paper lantern_b.png,old,left
graph_2,19,stim/television_b.png,old,left
graph_2,20,stim/television_a.jpg,similar,down
graph_1,21,stim/wallet_b.png,new,right
graph_2,22,stim/sunflower_b.png,new,right
graph_1,23,stim/flashlight_b.jpg,similar,down
graph_2,24,stim/binder_b.jpg,similar,down
graph_1,25,stim/broom_b.png,new,right
graph_2,26,stim/paper lantern_a.jpg,similar,down
graph_1,27,stim/pretzel_a.jpg,similar,down
graph_2,28,stim/baseball_b.png,new,right
graph_1,29,stim/flashlight_a.png,old,left
graph_1,30,stim/pool table_a.png,old,left
graph_2,31,stim/treadmill_b.png,old,left
graph_1,32,stim/clarinet_b.png,new,right
graph_1,33,stim/pretzel_b.png,old,left
graph_1,34,stim/circular saw blade_b.jpg,similar,down
graph_2,35,stim/leaf blower_a.png,new,right
graph_2,36,stim/guitar amplifier_b.png,new,right
