graph,trial_number,cue_MST,label,correct_Ans_MST
graph_2,1,stim/pretzel_a.jpg,similar,down
graph_2,2,stim/leaf blower_b.png,old,left
graph_2,3,stim/disco ball_b.png,new,right
graph_1,4,stim/television_a.jpg,similar,down
graph_1,5,stim/paper lantern_a.png,new,right
graph_2,6,stim/baseball_a.png,new,right
graph_2,7,stim/treadmill_b.png,old,left
graph_1,8,stim/television_b.png,old,left
graph_2,9,stim/sunflower_b.png,new,right
graph_2,10,stim/circular saw blade_a.png,new,right
graph_2,11,stim/allen wrench_b.png,new,right
graph_1,12,stim/hedge shears_a.png,old,left
graph_1,13,stim/pool table_b.png,old,left
graph_2,14,stim/leaf blower_a.jpg,similar,down
graph_1,15,stim/binder_b.png,old,left
graph_1,16,stim/trampoline_a.png,old,left
graph_2,17,stim/treadmill_a.jpg,similar,down
graph_1,18,stim/hedge shears_b.jpg,similar,down
graph_2,19,stim/tennis ball_a.png,old,left
graph_1,20,stim/guitar amplifier_a.jpg,similar,down
graph_1,21,stim/broom_b.png,new,right
graph_2,22,stim/rake_a.png,new,right
graph_2,23,stim/flashlight_a.jpg,similar,down
graph_1,24,stim/cinnamon roll_b.png,new,right
graph_1,25,stim/pool table_a.jpg,similar,down
graph_1,26,stim/binder_a.jpg,similar,down
graph_2,27,stim/pretzel_b.png,old,left
graph_1,28,stim/beanie_a.png,new,right
graph_1,29,stim/guitar amplifier_b.png,old,left
graph_1,30,stim/trampoline_b.jpg,similar,down
graph_1,31,stim/wallet_a.png,new,right
graph_1,32,stim/clarinet_b.png,new,right
graph_2,33,stim/gravy boat_b.jpg,similar,down
graph_2,34,stim/tennis ball_b.jpg,similar,down
graph_2,35,stim/flashlight_b.png,old,left
graph_2,36,stim/gravy boat_a.png,old,left
