graph,trial_number,cue_MST,label,correct_Ans_MST
graph_1,1,stim/pool table_a.png,old,left
graph_2,2,stim/sunflower_b.png,old,left
graph_2,3,stim/broom_a.png,old,left
graph_1,4,stim/rake_b.png,new,right
graph_1,5,stim/baseball_b.png,new,right
graph_1,6,stim/treadmill_b.png,new,right
graph_2,7,stim/trampoline_b.png,new,right
graph_2,8,stim/circular saw blade_b.png,old,left
graph_1,9,stim/hedge shears_a.jpg,similar,down
graph_1,10,stim/pretzel_b.jpg,similar,down
graph_1,11,stim/clarinet_b.png,old,left
graph_2,12,stim/cinnamon roll_b.png,new,right
graph_1,13,stim/clarinet_a.jpg,similar,down
graph_2,14,stim/television_a.png,new,right
graph_2,15,stim/flashlight_a.jpg,similar,down
graph_1,16,stim/hedge shears_b.png,old,left
graph_2,17,stim/circular saw blade_a.jpg,similar,down
graph_2,18,stim/guitar amplifier_a.png,old,left
graph_2,19,stim/paper lantern_b.png,new,right
graph_2,20,stim/broom_b.jpg,similar,down
graph_1,21,stim/gravy boat_b.jpg,similar,down
graph_2,22,stim/allen wrench_a.png,new,right
graph_1,23,stim/wallet_b.png,new,right
graph_2,24,stim/disco ball_b.png,new,right
graph_2,25,stim/guitar amplifier_b.jpg,similar,down
graph_2,26,stim/sunflower_a.jpg,similar,down
graph_1,27,stim/tennis ball_b.png,new,right
graph_1,28,stim/pretzel_a.png,old,left
graph_1,29,stim/gravy boat_a.png,old,left
graph_1,30,stim/pool table_b.jpg,similar,down
graph_1,31,stim/beanie_a.png,new,right
graph_2,32,stim/binder_b.png,old,left
graph_1,33,stim/leaf blower_b.png,old,left
graph_1,34,stim/leaf blower_a.jpg,similar,down
graph_2,35,stim/binder_a.jpg,similar,down
graph_2,36,stim/flashlight_b.png,old,left
