trial_number,block,map,reference_node,object_reference,object_left_node,object_left,distance_left,object_right_node,object_right,distance_right,edge_difference,total_distance,minimum_distance,maximum_distance,degree_left,degree_right,correct_Ans_Dis
1,1,initial_map,node_3,stim/binder_b.png,node_5,stim/guitar amplifier_a.png,2,node_6,stim/allen wrench_b.png,1,1,3,1,2,3,2,right
2,1,initial_map,node_3,stim/binder_b.png,node_1,stim/pool table_a.png,2,node_4,stim/paper lantern_a.png,3,1,5,2,3,2,2,left
3,1,initial_map,node_5,stim/guitar amplifier_a.png,node_3,stim/binder_b.png,2,node_6,stim/allen wrench_b.png,1,1,3,1,2,2,2,right
4,1,initial_map,node_2,stim/television_b.png,node_1,stim/pool table_a.png,1,node_6,stim/allen wrench_b.png,2,1,3,1,2,2,2,left
5,1,initial_map,node_2,stim/television_b.png,node_3,stim/binder_b.png,1,node_4,stim/paper lantern_a.png,2,1,3,1,2,2,2,left
6,1,initial_map,node_1,stim/pool table_a.png,node_2,stim/television_b.png,1,node_6,stim/allen wrench_b.png,3,2,4,1,3,3,2,left
7,1,initial_map,node_3,stim/binder_b.png,node_4,stim/paper lantern_a.png,3,node_5,stim/guitar amplifier_a.png,2,1,5,2,3,2,3,right
8,1,initial_map,node_3,stim/binder_b.png,node_1,stim/pool table_a.png,2,node_2,stim/television_b.png,1,1,3,1,2,2,3,right
9,1,initial_map,node_2,stim/television_b.png,node_5,stim/guitar amplifier_a.png,1,node_6,stim/allen wrench_b.png,2,1,3,1,2,3,2,left
10,1,initial_map,node_1,stim/pool table_a.png,node_5,stim/guitar amplifier_a.png,2,node_6,stim/allen wrench_b.png,3,1,5,2,3,3,2,left
11,1,initial_map,node_6,stim/allen wrench_b.png,node_1,stim/pool table_a.png,3,node_4,stim/paper lantern_a.png,2,1,5,2,3,2,2,right
12,2,transfer_map,node_5,stim/sunflower_b.png,node_3,stim/circular saw blade_b.png,2,node_4,stim/treadmill_a.png,1,1,3,1,2,2,2,right
13,2,transfer_map,node_4,stim/treadmill_a.png,node_1,stim/pretzel_b.png,1,node_2,stim/clarinet_b.png,2,1,3,1,2,2,3,left
14,2,transfer_map,node_3,stim/circular saw blade_b.png,node_4,stim/treadmill_a.png,3,node_5,stim/sunflower_b.png,2,1,5,2,3,2,3,right
15,2,transfer_map,node_3,stim/circular saw blade_b.png,node_1,stim/pretzel_b.png,2,node_2,stim/clarinet_b.png,1,1,3,1,2,2,3,right
16,2,transfer_map,node_4,stim/treadmill_a.png,node_1,stim/pretzel_b.png,1,node_6,stim/flashlight_b.png,2,1,3,1,2,2,2,left
17,2,transfer_map,node_4,stim/treadmill_a.png,node_3,stim/circular saw blade_b.png,3,node_5,stim/sunflower_b.png,1,2,4,1,3,2,3,right
18,2,transfer_map,node_1,stim/pretzel_b.png,node_2,stim/clarinet_b.png,1,node_3,stim/circular saw blade_b.png,2,1,3,1,2,3,2,left
19,2,transfer_map,node_1,stim/pretzel_b.png,node_3,stim/circular saw blade_b.png,2,node_6,stim/flashlight_b.png,3,1,5,2,3,2,2,left
20,2,transfer_map,node_3,stim/circular saw blade_b.png,node_2,stim/clarinet_b.png,1,node_4,stim/treadmill_a.png,3,2,4,1,3,3,2,left
21,2,transfer_map,node_4,stim/treadmill_a.png,node_1,stim/pretzel_b.png,1,node_3,stim/circular saw blade_b.png,3,2,4,1,3,2,2,left
22,2,transfer_map,node_2,stim/clarinet_b.png,node_5,stim/sunflower_b.png,1,node_6,stim/flashlight_b.png,2,1,3,1,2,3,2,left
23,3,initial_map,node_3,stim/binder_b.png,node_4,stim/paper lantern_a.png,3,node_6,stim/allen wrench_b.png,1,2,4,1,3,2,2,right
24,3,initial_map,node_1,stim/pool table_a.png,node_3,stim/binder_b.png,2,node_4,stim/paper lantern_a.png,1,1,3,1,2,2,2,right
25,3,initial_map,node_6,stim/allen wrench_b.png,node_2,stim/television_b.png,2,node_3,stim/binder_b.png,1,1,3,1,2,3,2,right
26,3,initial_map,node_4,stim/paper lantern_a.png,node_5,stim/guitar amplifier_a.png,1,node_6,stim/allen wrench_b.png,2,1,3,1,2,3,2,left
27,3,initial_map,node_4,stim/paper lantern_a.png,node_3,stim/binder_b.png,3,node_5,stim/guitar amplifier_a.png,1,2,4,1,3,2,3,right
28,3,initial_map,node_2,stim/television_b.png,node_3,stim/binder_b.png,1,node_6,stim/allen wrench_b.png,2,1,3,1,2,2,2,left
29,3,initial_map,node_6,stim/allen wrench_b.png,node_1,stim/pool table_a.png,3,node_2,stim/television_b.png,2,1,5,2,3,2,3,right
30,3,initial_map,node_2,stim/television_b.png,node_1,stim/pool table_a.png,1,node_4,stim/paper lantern_a.png,2,1,3,1,2,2,2,left
31,3,initial_map,node_2,stim/television_b.png,node_4,stim/paper lantern_a.png,2,node_5,stim/guitar amplifier_a.png,1,1,3,1,2,2,3,right
32,3,initial_map,node_4,stim/paper lantern_a.png,node_3,stim/binder_b.png,3,node_6,stim/allen wrench_b.png,2,1,5,2,3,2,2,right
33,3,initial_map,node_3,stim/binder_b.png,node_2,stim/television_b.png,1,node_4,stim/paper lantern_a.png,3,2,4,1,3,3,2,left
34,4,transfer_map,node_2,stim/clarinet_b.png,node_3,stim/circular saw blade_b.png,1,node_6,stim/flashlight_b.png,2,1,3,1,2,2,2,left
35,4,transfer_map,node_1,stim/pretzel_b.png,node_5,stim/sunflower_b.png,2,node_6,stim/flashlight_b.png,3,1,5,2,3,3,2,left
36,4,transfer_map,node_2,stim/clarinet_b.png,node_1,stim/pretzel_b.png,1,node_4,stim/treadmill_a.png,2,1,3,1,2,2,2,left
37,4,transfer_map,node_5,stim/sunflower_b.png,node_1,stim/pretzel_b.png,2,node_6,stim/flashlight_b.png,1,1,3,1,2,2,2,right
38,4,transfer_map,node_6,stim/flashlight_b.png,node_2,stim/clarinet_b.png,2,node_3,stim/circular saw blade_b.png,1,1,3,1,2,3,2,right
39,4,transfer_map,node_1,stim/pretzel_b.png,node_2,stim/clarinet_b.png,1,node_6,stim/flashlight_b.png,3,2,4,1,3,3,2,left
40,4,transfer_map,node_6,stim/flashlight_b.png,node_4,stim/treadmill_a.png,2,node_5,stim/sunflower_b.png,1,1,3,1,2,2,3,right
41,4,transfer_map,node_6,stim/flashlight_b.png,node_2,stim/clarinet_b.png,2,node_5,stim/sunflower_b.png,1,1,3,1,2,3,3,right
42,4,transfer_map,node_1,stim/pretzel_b.png,node_4,stim/treadmill_a.png,1,node_6,stim/flashlight_b.png,3,2,4,1,3,2,2,left
43,4,transfer_map,node_6,stim/flashlight_b.png,node_1,stim/pretzel_b.png,3,node_5,stim/sunflower_b.png,1,2,4,1,3,2,3,right
44,4,transfer_map,node_4,stim/treadmill_a.png,node_2,stim/clarinet_b.png,2,node_5,stim/sunflower_b.png,1,1,3,1,2,3,3,right
45,5,initial_map,node_1,stim/pool table_a.png,node_2,stim/television_b.png,1,node_5,stim/guitar amplifier_a.png,2,1,3,1,2,3,3,left
46,5,initial_map,node_1,stim/pool table_a.png,node_4,stim/paper lantern_a.png,1,node_6,stim/allen wrench_b.png,3,2,4,1,3,2,2,left
47,5,initial_map,node_1,stim/pool table_a.png,node_4,stim/paper lantern_a.png,1,node_5,stim/guitar amplifier_a.png,2,1,3,1,2,2,3,left
48,5,initial_map,node_3,stim/binder_b.png,node_2,stim/television_b.png,1,node_5,stim/guitar amplifier_a.png,2,1,3,1,2,3,3,left
49,5,initial_map,node_5,stim/guitar amplifier_a.png,node_1,stim/pool table_a.png,2,node_4,stim/paper lantern_a.png,1,1,3,1,2,2,2,right
50,5,initial_map,node_6,stim/allen wrench_b.png,node_4,stim/paper lantern_a.png,2,node_5,stim/guitar amplifier_a.png,1,1,3,1,2,2,3,right
51,5,initial_map,node_6,stim/allen wrench_b.png,node_1,stim/pool table_a.png,3,node_5,stim/guitar amplifier_a.png,1,2,4,1,3,2,3,right
52,5,initial_map,node_4,stim/paper lantern_a.png,node_1,stim/pool table_a.png,1,node_6,stim/allen wrench_b.png,2,1,3,1,2,2,2,left
53,5,initial_map,node_4,stim/paper lantern_a.png,node_2,stim/television_b.png,2,node_5,stim/guitar amplifier_a.png,1,1,3,1,2,3,3,right
54,5,initial_map,node_5,stim/guitar amplifier_a.png,node_1,stim/pool table_a.png,2,node_2,stim/television_b.png,1,1,3,1,2,2,3,right
55,5,initial_map,node_6,stim/allen wrench_b.png,node_2,stim/television_b.png,2,node_5,stim/guitar amplifier_a.png,1,1,3,1,2,3,3,right
56,6,transfer_map,node_2,stim/clarinet_b.png,node_4,stim/treadmill_a.png,2,node_5,stim/sunflower_b.png,1,1,3,1,2,2,3,right
57,6,transfer_map,node_3,stim/circular saw blade_b.png,node_5,stim/sunflower_b.png,2,node_6,stim/flashlight_b.png,1,1,3,1,2,3,2,right
58,6,transfer_map,node_3,stim/circular saw blade_b.png,node_2,stim/clarinet_b.png,1,node_5,stim/sunflower_b.png,2,1,3,1,2,3,3,left
59,6,transfer_map,node_5,stim/sunflower_b.png,node_3,stim/circular saw blade_b.png,2,node_6,stim/flashlight_b.png,1,1,3,1,2,2,2,right
60,6,transfer_map,node_6,stim/flashlight_b.png,node_1,stim/pretzel_b.png,3,node_3,stim/circular saw blade_b.png,1,2,4,1,3,2,2,right
61,6,transfer_map,node_6,stim/flashlight_b.png,node_1,stim/pretzel_b.png,3,node_4,stim/treadmill_a.png,2,1,5,2,3,2,2,right
62,6,transfer_map,node_6,stim/flashlight_b.png,node_3,stim/circular saw blade_b.png,1,node_4,stim/treadmill_a.png,2,1,3,1,2,2,2,left
63,6,transfer_map,node_4,stim/treadmill_a.png,node_3,stim/circular saw blade_b.png,3,node_6,stim/flashlight_b.png,2,1,5,2,3,2,2,right
64,6,transfer_map,node_1,stim/pretzel_b.png,node_4,stim/treadmill_a.png,1,node_5,stim/sunflower_b.png,2,1,3,1,2,2,3,left
65,6,transfer_map,node_1,stim/pretzel_b.png,node_3,stim/circular saw blade_b.png,2,node_4,stim/treadmill_a.png,1,1,3,1,2,2,2,right
66,6,transfer_map,node_2,stim/clarinet_b.png,node_3,stim/circular saw blade_b.png,1,node_4,stim/treadmill_a.png,2,1,3,1,2,2,2,left
67,7,initial_map,node_6,stim/allen wrench_b.png,node_1,stim/pool table_a.png,3,node_3,stim/binder_b.png,1,2,4,1,3,2,2,right
68,7,initial_map,node_5,stim/guitar amplifier_a.png,node_2,stim/television_b.png,1,node_3,stim/binder_b.png,2,1,3,1,2,3,2,left
69,7,initial_map,node_4,stim/paper lantern_a.png,node_1,stim/pool table_a.png,1,node_3,stim/binder_b.png,3,2,4,1,3,2,2,left
70,7,initial_map,node_5,stim/guitar amplifier_a.png,node_3,stim/binder_b.png,2,node_4,stim/paper lantern_a.png,1,1,3,1,2,2,2,right
71,7,initial_map,node_6,stim/allen wrench_b.png,node_3,stim/binder_b.png,1,node_4,stim/paper lantern_a.png,2,1,3,1,2,2,2,left
72,7,initial_map,node_4,stim/paper lantern_a.png,node_2,stim/television_b.png,2,node_3,stim/binder_b.png,3,1,5,2,3,3,2,left
73,7,initial_map,node_1,stim/pool table_a.png,node_2,stim/television_b.png,1,node_3,stim/binder_b.png,2,1,3,1,2,3,2,left
